claim_id,status,directional_assessment,quantitative_assessment,evidence_key,evidence_summary,main_caveat
E01-C023,DIRECTIONALLY_SUPPORTED,ALIGNED,DIFFERENT,S14_TEMPORAL,Median raw Ljung-Box p-values were 2.66e-8 and 7.01e-6 and therefore strongly indicated dependence though not the reported 2.07e-51 magnitude.,The paper does not report its lag or exact aggregation.
E01-C024,SUPPORTED,ALIGNED,TARGET_MET,S14_TEMPORAL,Differenced trajectories rejected temporal independence in 100 of 100 runs for each candidate.,The exact paper lag remains unavailable even though the reported count is matched.
E01-C025,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S16_PREDICTION,PhiRL did not outperform composition change in either completed-fit candidate and no p<0.01 advantage occurred.,Completed-fit values also use the future suffix.
E01-C026,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,MIXED_ACROSS_REQUIRED_BRANCHES,DIFFERENT,S16_PREDICTION,Candidate 2 had a tiny directional completed-fit accuracy edge over raw counts but candidate 3 did not and neither comparison had p<0.01.,No favorable-candidate selection is allowed.
E01-C027,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S16_PREDICTION,PhiRL did not outperform molecular flux in either candidate at the paper-like significance criterion.,Accuracy was dominated by target prevalence.
E01-C028,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S16_PREDICTION,The majority dummy slightly exceeded PhiRL median accuracy in both candidates.,Balanced accuracy was approximately 0.5 and specificity approximately zero.
E01-C029,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,S16_ALTERNATIVE_SPLITS,Alternative input-output proportions were not evaluated because Option 2 locked exactly the 25/75 split.,No stability claim across split proportions can be made.
E01-C030,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S16_PREDICTION,All six directed cutoff-causal prospective gates failed in both candidates and all matrices were already positive by cutoff.,Pre-onset performance was unavailable and exact contemporaneous H determines the target.
E01-C031,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,SPIKE_TIMING_NOT_RUN,Spike time versus replication-probability association was not estimated in the locked sequence.,S14 measured spike morphology but not this probability association.
E01-C032,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,SPIKE_TIMING_NOT_RUN,Inter-spike spacing versus replication-probability association was not estimated in the locked sequence.,S14 measured spacing but not this probability association.
E01-C033,NOT_EVALUATED,NOT_ASSESSED,UNAVAILABLE,SPIKE_TIMING_NOT_RUN,Spike height versus replication-probability association was not estimated in the locked sequence.,S14 measured prominence and height but not this probability association.
E01-C034,DIRECTIONALLY_SUPPORTED,ALIGNED,CLOSE_OR_WITHIN_REPORTED_DISPERSION,S17_TABLE1,Max persistence means were 751.3 and 786.0 versus 874 and fell within one paper-reported dispersion for both candidates.,The paper does not identify whether its plus-minus value is an SD or SE.
E01-C035,DIRECTIONALLY_SUPPORTED,ALIGNED,CLOSE_OR_WITHIN_REPORTED_DISPERSION,S17_TABLE1,Control persistence means were 771.3 and 789.2 versus 716 and fell within one paper-reported dispersion for both candidates.,The paper does not identify whether its plus-minus value is an SD or SE.
E01-C036,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_TABLE1,Min persistence means were 721.8 and 769.0 versus 559 and were outside one paper-reported dispersion.,Exact author action scoring remains unavailable.
E01-C037,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_TABLE1,Max replication probabilities were 0.9786 and 0.9807 versus 0.88.,The frozen exact-H label produces near-saturated occupancy.
E01-C038,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_TABLE1,Control replication probabilities were 0.9800 and 0.9833 versus 0.88.,The frozen exact-H label produces near-saturated occupancy.
E01-C039,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_TABLE1,Min replication probabilities were 0.9752 and 0.9772 versus 0.80.,The frozen exact-H label produces near-saturated occupancy.
E01-C040,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_TABLE1,Max consistency means were 0.1758 and 0.1244 versus 0.52.,The paper's exact aggregation and dispersion meaning remain unavailable.
E01-C041,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_TABLE1,Control consistency means were 0.1237 and 0.1450 versus 0.38.,The paper's exact aggregation and dispersion meaning remain unavailable.
E01-C042,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_TABLE1,Min consistency means were 0.1355 and 0.1120 versus 0.42.,The paper text says worse even though its table value exceeds control and is internally inconsistent.
E01-C043,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_TABLE1,Max normalized first-replicator times were 0.00219 and 0.00141 versus a reported 0.36.,The paper's percent or step unit is internally unresolved.
E01-C044,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_TABLE1,Control normalized first-replicator times were 0.00224 and 0.00147 versus a reported 0.37.,The paper's percent or step unit is internally unresolved.
E01-C045,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_TABLE1,Min normalized first-replicator times were 0.00279 and 0.00145 versus a reported 0.40.,The paper's percent or step unit is internally unresolved.
E01-C046,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_CONTRAST,Max-minus-control mean persistence was -19.9 and -3.2 and both confidence intervals included zero.,The paper reports a positive highly significant effect.
E01-C047,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,MIXED_ACROSS_REQUIRED_BRANCHES,MIXED,S17_CONTRAST,Max-minus-control consistency was positive for candidate 2 but negative for candidate 3 and neither Wilcoxon comparison was significant.,No favorable-candidate selection is allowed.
E01-C048,DIRECTIONALLY_SUPPORTED,ALIGNED,CLOSE_OR_WITHIN_REPORTED_DISPERSION,S17_CONTRAST,Max-minus-control probability confidence intervals included zero and paired p-values exceeded 0.05 in both candidates.,Failure to reject is not a formal equivalence test and absolute probabilities differ from the paper.
E01-C049,DIRECTIONALLY_SUPPORTED,ALIGNED,CLOSE_OR_WITHIN_REPORTED_DISPERSION,S17_CONTRAST,Raw first-replicator times were identical for max and control in every matrix and normalized paired intervals included zero in both candidates.,The paper's timing unit and an equivalence margin are unavailable.
E01-C050,DIRECTIONALLY_SUPPORTED,ALIGNED,DIFFERENT,S17_TREND,Max probability slopes were positive in both candidates but not significant at 0.05 with p=0.286 and p=0.052.,The reported significant positive trend is not reproduced exactly.
E01-C051,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,MIXED_ACROSS_REQUIRED_BRANCHES,MIXED,S17_TREND,Control was significantly positive in candidate 2 at p=0.0237 and nonsignificant in candidate 3 at p=0.0954.,The no-trend claim does not hold in both mandatory candidates.
E01-C052,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,CONTRADICTED,DIFFERENT,S17_TREND,Min probability slopes were positive and nonsignificant in both candidates rather than negative and significant.,The paper-directed trend is reversed.
E01-C053,DIRECTIONALLY_SUPPORTED,ALIGNED,UNAVAILABLE,S17_TREND,Last-generation mean probability was higher under max than control in both candidates.,No frozen paired uncertainty interval was defined for the single last-generation contrast.
E01-C054,DIRECTIONALLY_SUPPORTED,ALIGNED,MIXED,S17_CONTRAST,Min persistence was below control in both candidates; the paired interval excluded zero for candidate 2 but not candidate 3.,The magnitude and certainty are not consistent across both candidates.
E01-C055,DIRECTIONALLY_SUPPORTED,ALIGNED,DIFFERENT,S17_CONTRAST,Min probability was below control with positive control-minus-min confidence intervals and p<0.05 in both candidates.,The effects were much smaller than the paper and did not reach the reported p<0.001.
E01-C056,UNDERDETERMINED,MIXED_ACROSS_REQUIRED_BRANCHES,MIXED,S17_CONTRAST,Min consistency was above control in candidate 2 and below control in candidate 3.,The paper's text conflicts with its own table and candidates disagree.
E01-C057,NOT_SUPPORTED_WITHIN_TESTED_SCOPE,MIXED_ACROSS_REQUIRED_BRANCHES,DIFFERENT,S17_CONTRAST,Min was slightly later only in candidate 2 and identical in raw first-replicator steps in candidate 3 with no significant paired effect.,The paper's timing unit is unresolved but the directed delay is not robust.
E01-C058,DIRECTIONALLY_SUPPORTED,ALIGNED,MIXED,S17_CONTRAST,Max persistence exceeded min in both candidates; the paired interval excluded zero for candidate 2 but not candidate 3.,The effect is directional rather than robustly inferential in both candidates.
E01-C059,DIRECTIONALLY_SUPPORTED,ALIGNED,MIXED,S17_CONTRAST,Control persistence exceeded min in both candidates; the paired interval excluded zero for candidate 2 but not candidate 3.,The effect is directional rather than robustly inferential in both candidates.
